Complemento Pago,,PI,No.,Fecha,Fecha Afectaci�n,Cliente,Descripci�n,Subtotal,Impuestos,Total,Cobrado,Saldo,Divisa,ID Operacion,UUID
Timbrado,0,2,,03/05/2024,,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',945,151.2,1096.2,1096.2,0,Peso mexicano,21324,E1F83EE8-EC19-4FC6-A70A-1B2AEFB3711A
Timbrado,0,2,,30/04/2024,,PATRONATO DE LAS UNIDADES DE SERVICIOS CULTURALES Y TURISTICOS DEL ESTADO DE YUCATAN,Pago Cliente 'PATRONATO DE LAS UNIDADES DE SERVICIOS CULTURALES Y TURISTICOS DEL ESTADO DE YUCATAN',37305,5968.8,43273.8,43273.8,0,Peso mexicano,21310,656EE84E-019D-4045-8E4E-41A52E709372
Timbrado,0,2,,26/04/2024,,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN,Pago Cliente 'SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN',30303,4848.48,35151.48,35151.48,0,Peso mexicano,21309,1C18570B-312F-4649-9455-545990244B8C
Opcional,0,2,,25/04/2024,25/04/2024,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,20625,3300,23925,23925,0,Peso mexicano,21312,
Timbrado,0,3,,19/04/2024,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',5940,950.4,6890.4,6890.4,0,Peso mexicano,21308,0FA7B48F-8A1A-4BFA-BB13-646408235345
Timbrado,0,2,,18/04/2024,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',18216,2914.56,21130.56,21130.56,0,Peso mexicano,21311,B8AEB8F6-4E0E-4F50-95D9-E0C0537B094C
Timbrado,0,2,,17/04/2024,,SOLUCIONES EN MEDIOS MASIVOS,Pago Cliente 'SOLUCIONES EN MEDIOS MASIVOS',6720,1075.2,7795.2,7795.2,0,Peso mexicano,21306,AFD0F4CA-8C34-4F0C-ABC4-B6F723E12DAB
Timbrado,0,2,,17/04/2024,,SOLUCIONES EN MEDIOS MASIVOS,Pago Cliente 'SOLUCIONES EN MEDIOS MASIVOS',8000,1280,9280,9280,0,Peso mexicano,21307,92A133CE-BA0A-42E4-9FD7-F10E6C381859
Timbrado,0,2,,09/04/2024,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',70465,11274.4,81739.4,81739.4,0,Peso mexicano,21262,C4F1731E-6C35-4851-914F-F66B0FF88022
Timbrado,0,2,,09/04/2024,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',239148,38263.68,277411.68,277411.68,0,Peso mexicano,21261,F0C52972-F960-479C-84B3-4E1EC740684C
Timbrado,0,2,,08/04/2024,,INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL,Pago Cliente 'INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL',91773.66,14683.7856,106457.45,106457.45,0,Peso mexicano,21260,76CF2783-F880-499C-A678-0D69294FDC6C
Timbrado,0,2,,05/04/2024,,JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN,Pago Cliente 'JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN',22655.1875,3624.83,26279.99,26279.99,0,Peso mexicano,21259,B515DE8A-7E9F-49A5-82EC-0C5F65B0F7B0
Timbrado,0,2,,04/04/2024,,FARMACON,Pago Cliente 'FARMACON',3360,537.6,3897.6,3897.6,0,Peso mexicano,21258,0E63952C-3B99-4949-BE9E-3491C42B57CA
Timbrado,0,2,,04/04/2024,,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN,Pago Cliente SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN,30000,4800,34800,34800,0,Peso mexicano,21231,7BEA0C8F-9544-4AF2-8175-D95AD8A9E437
Timbrado,0,2,,26/03/2024,,SERVICIOS DE SALUD DE YUCATAN,Pago Cliente 'SERVICIOS DE SALUD DE YUCATAN',79462.0625,12713.93,92176,92176,0,Peso mexicano,21230,E61A383D-38DF-4BD8-8F87-AEF3507915E7
Opcional,0,2,,26/03/2024,26/03/2024,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,15400,2464,17864,17864,0,Peso mexicano,21228,
Timbrado,0,2,,25/03/2024,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',2700,432,3132,3132,0,Peso mexicano,21229,07DDB4E5-AC0A-4A8D-9B75-7663849DC2FE
Timbrado,0,2,,14/03/2024,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',15100,2416,17516,17516,0,Peso mexicano,11214,F1C377D9-D430-403C-8556-537C7DCAD5AC
Timbrado,0,2,,12/03/2024,,INSTITUTO DEL DEPORTE DEL ESTADO DE YUCATAN,Pago Cliente 'INSTITUTO DEL DEPORTE DEL ESTADO DE YUCATAN',15000,2400,17400,17400,0,Peso mexicano,11198,1D7AFDC9-2F2D-44FD-8425-EA056CF0531A
Timbrado,0,8,,11/03/2024,,FARMACON,Pago Cliente 'FARMACON',18060,2889.6,20949.6,20949.6,-3.64E-12,Peso mexicano,11197,D469CAD7-73C1-45AD-8F8C-5CD35CAC9A30
Timbrado,0,2,,06/03/2024,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',90000,14400,104400,104400,0,Peso mexicano,11196,703F8C98-DFF7-456C-8082-0B407557A85B
Timbrado,0,3,,04/03/2024,,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',4500,720,5220,5220,0,Peso mexicano,11194,D0691077-8498-4375-B5B4-C25517009E39
Timbrado,0,2,,04/03/2024,,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',2376,380.16,2756.16,2756.16,0,Peso mexicano,11195,A995A90B-0287-4B4C-98C9-175473E5967F
Opcional,0,3,,29/02/2024,29/02/2024,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,46200,7392,53592,53592,0,Peso mexicano,11163,
Opcional,0,2,,28/02/2024,28/02/2024,MUNICIPIO DE KANASIN,Cobro Cliente MUNICIPIO DE KANASIN,20000,3200,23200,23200,0,Peso mexicano,11148,
Opcional,0,2,,27/02/2024,27/02/2024,DIGITAL CEL,Cobro Cliente DIGITAL CEL,75060,12009.6,87069.6,87069.6,0,Peso mexicano,11147,
Opcional,0,2,,26/02/2024,26/02/2024,MEDIOS ELECTRONICOS DE MERIDA,Cobro Cliente MEDIOS ELECTRONICOS DE MERIDA,20000,3200,23200,23200,0,Peso mexicano,11146,
Timbrado,0,3,,23/02/2024,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',5940,950.4,6890.4,6890.4,0,Peso mexicano,11129,53F2B328-142C-4DFC-927B-5756848433A3
Opcional,0,2,,22/02/2024,22/02/2024,MEDIOS ELECTRONICOS DE MERIDA,Cobro Cliente MEDIOS ELECTRONICOS DE MERIDA,20000,3200,23200,23200,0,Peso mexicano,11145,
Timbrado,0,2,,22/02/2024,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',20070,3211.2,23281.2,23281.2,0,Peso mexicano,11128,51C75C1B-1265-4F29-988B-D89BA011A4C5
Opcional,0,2,,19/02/2024,19/02/2024,MEDIOS ELECTRONICOS DE MERIDA,Cobro Cliente MEDIOS ELECTRONICOS DE MERIDA,20000,3200,23200,23200,0,Peso mexicano,11144,
Opcional,0,2,,16/02/2024,16/02/2024,FARMACON,Cobro Cliente FARMACON,,,1,1,0,Peso mexicano,11164,
Timbrado,0,2,,16/02/2024,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',2700,432,3132,3132,0,Peso mexicano,11118,5A8F151E-EEDB-402F-8625-77042C75A02B
Opcional,0,2,,12/02/2024,12/02/2024,MEDIOS ELECTRONICOS DE MERIDA,Cobro Cliente MEDIOS ELECTRONICOS DE MERIDA,20000,3200,23200,23200,0,Peso mexicano,11143,
Opcional,0,2,,29/01/2024,29/01/2024,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,41250,6600,47850,47850,0,Peso mexicano,10905,
Timbrado,0,3,,29/01/2024,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',5940,950.4,6890.4,6890.4,0,Peso mexicano,10898,10C79252-A960-41DA-B2E8-B3303AF7B1E1
Opcional,0,2,,25/01/2024,25/01/2024,DIGITAL CEL,Cobro Cliente DIGITAL CEL,92340,14774.4,107114.4,107114.4,0,Peso mexicano,10904,
Opcional,0,2,,16/01/2024,16/01/2024,MEDIOS ELECTRONICOS DE MERIDA,Cobro Cliente MEDIOS ELECTRONICOS DE MERIDA,30000,4800,34800,34800,0,Peso mexicano,11203,
Timbrado,0,2,,11/01/2024,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',25920,4147.2,30067.2,30067.2,0,Peso mexicano,10890,3BEB2C01-4B7F-4889-B0DF-BE2003D02808
Timbrado,0,2,,09/01/2024,,JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN,Pago Cliente 'JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN',13697.875,2191.66,15889.52,15889.52,0,Peso mexicano,10889,E2D4CE31-0FF2-4808-971A-CFFCE35A2D6E
Timbrado,0,2,,05/01/2024,,BEBIDAS PURIFICADAS,Pago Cliente 'BEBIDAS PURIFICADAS',29830,4772.8,34602.8,34602.8,0,Peso mexicano,10888,2D0CA183-6375-4818-8582-E19094EF0DF9
Timbrado,0,2,,29/12/2023,,IMPULSORA DE MERCADOS DE MEXICO,Pago Cliente 'IMPULSORA DE MERCADOS DE MEXICO',2700,432,3132,3132,0,Peso mexicano,10829,857C89AF-BA18-40D0-B0C0-C6088AFF4673
Timbrado,0,3,,28/12/2023,,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',2895,463.2,3358.2,3358.2,0,Peso mexicano,10832,A7C33A2C-1CF7-4CD9-838B-25207F622FFA
Timbrado,0,19,,27/12/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',65070,10411.2,75481.2,75481.2,0,Peso mexicano,10830,47FBEE60-150E-43F4-ABB8-5DF88CBC2C4D
Timbrado,0,2,,27/12/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',4040.9375,646.55,4687.5,4687.5,0,Peso mexicano,10831,464F27AC-E48D-4AAA-B946-41485152B4C9
Opcional,0,2,,21/12/2023,21/12/2023,DIGITAL CEL,Cobro Cliente DIGITAL CEL,88200,14112,102312,102312,0,Peso mexicano,10796,
Timbrado,0,2,,21/12/2023,,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN,Pago Cliente 'SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN',3340,534.4,3874.4,3874.4,0,Peso mexicano,10794,A5E71A69-29EF-443F-A83B-B115AC6D5257
Opcional,0,2,,20/12/2023,20/12/2023,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,28875,4620,33495,33495,0,Peso mexicano,10795,
Timbrado,0,2,,19/12/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',6770.3125,1083.25,7853.56,7853.56,0,Peso mexicano,10793,AAB660AC-246B-4E58-A510-ACE925FCDA39
Timbrado,0,2,,18/12/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',4040.9375,646.55,4687.5,4687.5,0,Peso mexicano,10792,2748F0FC-8914-46D2-998D-2FB5BAA4DA4C
Timbrado,0,2,,15/12/2023,,INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL,Pago Cliente 'INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL',31440.25,5030.44,36470.68,36470.68,0,Peso mexicano,10791,591EEC48-D2C1-4044-8FEC-45039189B026
Timbrado,0,4,,15/12/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',8100,1296,9396,9396,0,Peso mexicano,10790,0D23658D-A1EF-445D-80D1-7075DC506231
Timbrado,0,2,,14/12/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',4040.9375,646.55,4687.5,4687.5,0,Peso mexicano,10789,97B9F454-8859-4BAA-B933-B902328C7C8D
Timbrado,0,2,,14/12/2023,,"LEALTAD, MERCADOTECNIA Y CONOCIMIENTO AGREGADOS","Pago Cliente 'LEALTAD, MERCADOTECNIA Y CONOCIMIENTO AGREGADOS'",6360,1017.6,7377.6,7377.6,0,Peso mexicano,10787,3F5B553F-4ED4-4463-BEF0-BF6FE69DADCC
Timbrado,0,3,,14/12/2023,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',54585,8733.6,63318.6,63318.6,-7.28E-12,Peso mexicano,11130,EEB57BBA-2ACD-4705-A43D-54A64B2E88E7
Timbrado,0,2,,11/12/2023,,SERVICIOS GASOLINEROS DE MEXICO,Pago Cliente 'SERVICIOS GASOLINEROS DE MEXICO',3600,576,4176,4176,0,Peso mexicano,10786,422437ED-6B21-4F16-B60F-2D795D9C0B0D
Timbrado,0,4,,11/12/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',8910,1425.6,10335.6,10335.6,0,Peso mexicano,10785,59CAC4E2-97AC-4BF4-B236-36576E48AF0C
Timbrado,0,2,,08/12/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',164575,26332,190907,190907,0,Peso mexicano,10784,FEDEF753-10DD-4439-B66B-04902C498623
Timbrado,0,2,,01/12/2023,,JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN,Pago Cliente 'JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN',10912,1745.92,12657.92,12657.92,0,Peso mexicano,10783,E0967C06-7923-4E3F-A3C1-06C8A7AD8795
Timbrado,0,2,,30/11/2023,,SOLUCIONES EN MEDIOS MASIVOS,Pago Cliente SOLUCIONES EN MEDIOS MASIVOS,3520,563.2,4083.2,4083.2,0,Peso mexicano,10653,426C354F-7608-4F83-AF9C-22C14E8915D1
Timbrado,0,2,,29/11/2023,,INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL,Pago Cliente 'INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL',50592,8094.72,58686.72,58686.72,0,Peso mexicano,10652,3659AABB-201A-4C9B-AA07-09955B74EE25
Opcional,0,2,,28/11/2023,28/11/2023,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,19662.5,3146,22808.5,22808.5,0,Peso mexicano,10638,
Timbrado,0,2,,28/11/2023,,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',4284,685.44,4969.44,4969.44,0,Peso mexicano,10651,8EF177DF-D628-4C0E-B973-DF46AF7F3EC8
Timbrado,0,2,,24/11/2023,,IMPULSORA DE MERCADOS DE MEXICO,Pago Cliente 'IMPULSORA DE MERCADOS DE MEXICO',2700,432,3132,3132,0,Peso mexicano,10648,CA80655C-F590-41DB-B95A-8FAD397DDA5F
Timbrado,0,7,,24/11/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',20610,3297.6,23907.6,23907.6,0,Peso mexicano,10649,58A8FFD6-C2A9-4D42-B7E5-24FCE02BFD1B
Timbrado,0,2,,24/11/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',5170.5,827.28,5997.78,5997.78,0,Peso mexicano,10650,6321529D-AED3-4E63-9211-81F1ADCF32F9
Timbrado,0,2,,22/11/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',14362.5,2298,16660.5,16660.5,0,Peso mexicano,10614,89C0E554-16C3-43BD-8886-040ACBDAC7F1
Opcional,0,2,,22/11/2023,22/11/2023,DIGITAL CEL,Cobro Cliente DIGITAL CEL,81000,12960,93960,93960,0,Peso mexicano,10637,
Timbrado,0,2,,16/11/2023,,SERVICIOS DE SALUD DE YUCATAN,Pago Cliente 'SERVICIOS DE SALUD DE YUCATAN',20513.5625,3282.17,23795.72,23795.72,0,Peso mexicano,10615,D07F28C0-BFF2-4184-A15B-DE6C6CF9C57E
Timbrado,0,2,,14/11/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',67905,10864.8,78769.8,78769.8,0,Peso mexicano,10572,BF907B5D-405E-4C3D-BEAE-BBD2690EA38F
Timbrado,0,3,,10/11/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',5520,883.2,6403.2,6403.2,0,Peso mexicano,10570,A9904E3F-88F9-4EDF-864E-B166167BFFF8
Timbrado,0,2,,10/11/2023,,IMPULSORA DE MERCADOS DE MEXICO,Pago Cliente 'IMPULSORA DE MERCADOS DE MEXICO',2700,432,3132,3132,0,Peso mexicano,10569,E4D91602-7C7B-4472-B345-032E2E6D6E93
Timbrado,0,2,,10/11/2023,,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN,Pago Cliente 'SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN',3316,530.56,3846.56,3846.56,0,Peso mexicano,10568,556C7A6A-A33A-45EE-830D-25AB372F82A0
Timbrado,0,2,,09/11/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente SECRETARIA DE ADMINISTRACION Y FINANZAS,7468.5,1194.96,8663.46,8663.46,0,Peso mexicano,10567,7E7E7106-CFAD-4A42-A458-DC9D581A792E
Timbrado,0,2,,07/11/2023,,JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN,Pago Cliente 'JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN',22320,3571.2,25891.2,25891.2,0,Peso mexicano,10566,3F3BAE5A-07AB-4EC6-AE40-BEE88B64FDA0
Timbrado,0,2,,01/11/2023,,BEBIDAS PURIFICADAS,Pago Cliente 'BEBIDAS PURIFICADAS',51680,8268.8,59948.8,59948.8,0,Peso mexicano,10571,A9025771-30E1-4EAB-A5BD-18B1CFF4D71C
Timbrado,0,2,,31/10/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',4040.9375,646.55,4687.5,4687.5,0,Peso mexicano,10557,CA97BF59-CB3B-4285-B129-E316BAD4912B
Timbrado,0,2,,30/10/2023,,INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL,Pago Cliente 'INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL',50407,8065.12,58472.12,58472.12,0,Peso mexicano,10556,E2CD963C-07B2-496F-AE51-6BB7746A4AE6
Timbrado,0,6,,27/10/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',15750,2520,18270,18270,0,Peso mexicano,10554,CF1AD897-3C6E-41E6-9A2B-B937511B3EB3
Timbrado,0,4,,27/10/2023,27/10/2023,SERVICIOS GASOLINEROS DE MEXICO,Pago Cliente SERVICIOS GASOLINEROS DE MEXICO,18000,2880,20880,20880,0,Peso mexicano,10555,B09844FA-FEB3-4E0F-8187-CE28E37FA395
Opcional,0,2,,26/10/2023,26/10/2023,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,10725,1716,12441,12441,0,Peso mexicano,10562,
Opcional,0,2,,24/10/2023,24/10/2023,DIGITAL CEL,Cobro Cliente DIGITAL CEL,40500,6480,46980,46980,0,Peso mexicano,10559,
Timbrado,0,3,,23/10/2023,,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',4341,694.56,5035.56,5035.56,9.09E-13,Peso mexicano,10553,8E668601-1679-4F5D-A2E7-1278CA6CE739
Timbrado,0,2,,18/10/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',119991,19198.56,139189.56,139189.56,0,Peso mexicano,10508,DA3DA6B0-8EFE-459A-9631-2B912E0B2ABB
Timbrado,0,2,,12/10/2023,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',24795,3967.2,28762.2,28762.2,0,Peso mexicano,10506,536D2183-50CF-4197-83EC-A3680244A9FE
Timbrado,0,2,,12/10/2023,,SERVICIOS DE SALUD DE YUCATAN,Pago Cliente 'SERVICIOS DE SALUD DE YUCATAN',30216.5,4834.64,35051.14,35051.14,0,Peso mexicano,10507,37D1C4EA-7C3B-45DC-A4EB-E4E1699414CD
Timbrado,0,2,,10/10/2023,,INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL,Pago Cliente 'INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL',50275.5,8044.08,58319.58,58319.58,0,Peso mexicano,10505,E9FE3037-B970-4C18-B730-0719E0AEE0B4
Timbrado,0,2,,05/10/2023,,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN,Pago Cliente 'SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN',13888,2222.08,16110.08,16110.08,0,Peso mexicano,10503,EE0533FB-8ED6-4B2D-BB22-92DF691D9FB2
Timbrado,0,2,,05/10/2023,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',2430,388.8,2818.8,2818.8,0,Peso mexicano,10504,6A4B7FED-82D0-42D9-8D80-EB8B2168099F
Timbrado,0,2,,04/10/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',65414,10466.24,75880.24,75880.24,0,Peso mexicano,10502,BDA578F0-A7A7-45C2-B0BB-9DC40ED06AD8
Timbrado,0,2,,02/10/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',20107.5,3217.2,23324.7,23324.7,0,Peso mexicano,10501,7D9A867D-B9C5-4611-9F10-C4591B17A07E
Opcional,0,2,,27/09/2023,27/09/2023,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,9900,1584,11484,11484,0,Peso mexicano,10459,
Timbrado,0,2,,26/09/2023,,INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL,Pago Cliente 'INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL',30448.5,4871.76,35320.26,35320.26,0,Peso mexicano,10457,59BE55F7-3390-4520-A0CF-829A5239E320
Timbrado,0,2,,26/09/2023,,INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL,Pago Cliente 'INSTITUTO DE MOVILIDAD Y DESARROLLO URBANO TERRITORIAL',77354,12376.64,89730.64,89730.64,0,Peso mexicano,10456,55F015F8-CB59-4523-81E9-0D285D26F375
Timbrado,0,2,,26/09/2023,25/09/2023,SERVICIOS DE SALUD DE YUCATAN,Pago Cliente 'SERVICIOS DE SALUD DE YUCATAN',30617,4898.72,35515.72,35515.72,0,Peso mexicano,10455,07964D70-B840-4CE4-BB15-B68DBA45416C
Opcional,0,2,,25/09/2023,25/09/2023,DIGITAL CEL,Cobro Cliente DIGITAL CEL,31320,5011.2,36331.2,36331.2,0,Peso mexicano,10458,
Timbrado,0,2,,25/09/2023,,JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN,Pago Cliente 'JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN',22320,3571.2,25891.2,25891.2,0,Peso mexicano,10453,5923641E-CD05-492B-B938-7B60664BE5F4
Timbrado,0,2,,25/09/2023,,INSTITUTO DEL DEPORTE DEL ESTADO DE YUCATAN,Pago Cliente 'INSTITUTO DEL DEPORTE DEL ESTADO DE YUCATAN',13231,2116.96,15347.96,15347.96,0,Peso mexicano,10454,83C7F7C7-6B87-4772-8E99-CD1A1A5FC0EC
Timbrado,0,3,,22/09/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',5370,859.2,6229.2,6229.2,0,Peso mexicano,10452,BB9A4DC3-2716-4ADF-B225-2A40510B8A3C
